chemical_formula,Tc,composition,elements,stoichiometry,Category,num_elements
Ho1Ba2Cu3O6.71,92.9,Ho1 Ba2 Cu3 O6.71,"[Element Ho, Element Ba, Element Cu, Element O]","{'Ho': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.71}",Cuprates,4
Er1Ba2Cu3O6.82,92.4,Er1 Ba2 Cu3 O6.82,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.82}",Cuprates,4
Tm1Ba2Cu3O6.65,92.5,Tm1 Ba2 Cu3 O6.65,"[Element Tm, Element Ba, Element Cu, Element O]","{'Tm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.65}",Cuprates,4
Sm1Ba2Cu3O7.11,93.5,Sm1 Ba2 Cu3 O7.11,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.11}",Cuprates,4
Ho1Ba2Cu3O7,92.1,Ho1 Ba2 Cu3 O7,"[Element Ho, Element Ba, Element Cu, Element O]","{'Ho': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,4
Sm1Ba2Cu3O7,92.6,Sm1 Ba2 Cu3 O7,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,4
La1.8Sr0.2Cu1O4,35.7,La1.8 Sr0.2 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.8, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Eu1Ba2Cu3O7,92.0,Eu1 Ba2 Cu3 O7,"[Element Eu, Element Ba, Element Cu, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,4
Eu1Ba2Cu3S1O6,85.0,Eu1 Ba2 Cu3 S1 O6,"[Element Eu, Element Ba, Element Cu, Element S, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'S': 1.0, 'O': 6.0}",Cuprates,5
La2.8Ba3.2Cu6O14.07,13.0,La2.8 Ba3.2 Cu6 O14.07,"[Element La, Element Ba, Element Cu, Element O]","{'La': 2.8, 'Ba': 3.2, 'Cu': 6.0, 'O': 14.07}",Cuprates,4
La2.6Ba3.4Cu6O14.06,26.0,La2.6 Ba3.4 Cu6 O14.06,"[Element La, Element Ba, Element Cu, Element O]","{'La': 2.6, 'Ba': 3.4, 'Cu': 6.0, 'O': 14.06}",Cuprates,4
La2.4Ba3.6Cu6O14.01,39.0,La2.4 Ba3.6 Cu6 O14.01,"[Element La, Element Ba, Element Cu, Element O]","{'La': 2.4, 'Ba': 3.6, 'Cu': 6.0, 'O': 14.01}",Cuprates,4
La2.2Ba3.8Cu6O13.86,52.0,La2.2 Ba3.8 Cu6 O13.86,"[Element La, Element Ba, Element Cu, Element O]","{'La': 2.2, 'Ba': 3.8, 'Cu': 6.0, 'O': 13.86}",Cuprates,4
La2Ba4Cu6O13.8,65.0,La2 Ba4 Cu6 O13.8,"[Element La, Element Ba, Element Cu, Element O]","{'La': 2.0, 'Ba': 4.0, 'Cu': 6.0, 'O': 13.8}",Cuprates,4
Bi2Sr2Ca2Cu3O,111.0,Bi2 Sr2 Ca2 Cu3 O1,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'O': 1.0}",Cuprates,5
Bi2Sr2Ca1Cu2O,87.0,Bi2 Sr2 Ca1 Cu2 O1,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 1.0, 'Cu': 2.0, 'O': 1.0}",Cuprates,5
La1.94Sr0.06Cu1O3.995,6.5,La1.94 Sr0.06 Cu1 O3.995,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.94, 'Sr': 0.06, 'Cu': 1.0, 'O': 3.995}",Cuprates,4
La1.92Sr0.08Cu1O3.994,20.3,La1.92 Sr0.08 Cu1 O3.994,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.92, 'Sr': 0.08, 'Cu': 1.0, 'O': 3.994}",Cuprates,4
La1.89Sr0.11Cu1O3.986,29.2,La1.89 Sr0.11 Cu1 O3.986,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.89, 'Sr': 0.11, 'Cu': 1.0, 'O': 3.986}",Cuprates,4
La1.855Sr0.145Cu1O4,34.9,La1.855 Sr0.145 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.855, 'Sr': 0.145, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.815Sr0.185Cu1O3.964,33.2,La1.815 Sr0.185 Cu1 O3.964,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.815, 'Sr': 0.185, 'Cu': 1.0, 'O': 3.964}",Cuprates,4
La1.78Sr0.22Cu1O3.945,34.8,La1.78 Sr0.22 Cu1 O3.945,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.78, 'Sr': 0.22, 'Cu': 1.0, 'O': 3.945}",Cuprates,4
La1.75Sr0.25Cu1O3.921,19.6,La1.75 Sr0.25 Cu1 O3.921,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.75, 'Sr': 0.25, 'Cu': 1.0, 'O': 3.921}",Cuprates,4
La1.73Sr0.27Cu1O3.913,30.6,La1.73 Sr0.27 Cu1 O3.913,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.73, 'Sr': 0.27, 'Cu': 1.0, 'O': 3.913}",Cuprates,4
La1Ba2Cu2.9O6.8,45.0,La1 Ba2 Cu2.9 O6.8,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.0, 'Ba': 2.0, 'Cu': 2.9, 'O': 6.8}",Cuprates,4
La1.2Ba1.8Cu3O6.98,80.0,La1.2 Ba1.8 Cu3 O6.98,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.2, 'Ba': 1.8, 'Cu': 3.0, 'O': 6.98}",Cuprates,4
La1.9Ba0.1Cu1O4,26.9,La1.9 Ba0.1 Cu1 O4,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.9, 'Ba': 0.1, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.9Sr0.1Cu1O3.98,29.5,La1.9 Sr0.1 Cu1 O3.98,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.9, 'Sr': 0.1, 'Cu': 1.0, 'O': 3.98}",Cuprates,4
La1.85Sr0.15Cu1O3.98,37.9,La1.85 Sr0.15 Cu1 O3.98,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.85, 'Sr': 0.15, 'Cu': 1.0, 'O': 3.98}",Cuprates,4
La1.8Sr0.2Cu1O3.99,27.5,La1.8 Sr0.2 Cu1 O3.99,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.8, 'Sr': 0.2, 'Cu': 1.0, 'O': 3.99}",Cuprates,4
La1.9Ca0.1Cu1O3.967,20.0,La1.9 Ca0.1 Cu1 O3.967,"[Element La, Element Ca, Element Cu, Element O]","{'La': 1.9, 'Ca': 0.1, 'Cu': 1.0, 'O': 3.967}",Cuprates,4
La1.85Ca0.15Cu1O3.942,19.0,La1.85 Ca0.15 Cu1 O3.942,"[Element La, Element Ca, Element Cu, Element O]","{'La': 1.85, 'Ca': 0.15, 'Cu': 1.0, 'O': 3.942}",Cuprates,4
La1.8Ca0.2Cu1O3.917,19.5,La1.8 Ca0.2 Cu1 O3.917,"[Element La, Element Ca, Element Cu, Element O]","{'La': 1.8, 'Ca': 0.2, 'Cu': 1.0, 'O': 3.917}",Cuprates,4
Eu1Ba2Cu3O6.76,77.0,Eu1 Ba2 Cu3 O6.76,"[Element Eu, Element Ba, Element Cu, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.76}",Cuprates,4
Eu1Ba2Cu3O6.88,94.0,Eu1 Ba2 Cu3 O6.88,"[Element Eu, Element Ba, Element Cu, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.88}",Cuprates,4
Eu0.1La1.7Sr0.2Cu1O4,33.0,Eu0.1 La1.7 Sr0.2 Cu1 O4,"[Element Eu, Element La, Element Sr, Element Cu, Element O]","{'Eu': 0.1, 'La': 1.7, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
Sm1Ba2Cu3O6.85,92.8,Sm1 Ba2 Cu3 O6.85,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.85}",Cuprates,4
Sm1.05Ba1.95Cu3O6.87,89.75,Sm1.05 Ba1.95 Cu3 O6.87,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.05, 'Ba': 1.95, 'Cu': 3.0, 'O': 6.87}",Cuprates,4
Sm1.15Ba1.85Cu3O6.95,77.3,Sm1.15 Ba1.85 Cu3 O6.95,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.15, 'Ba': 1.85, 'Cu': 3.0, 'O': 6.95}",Cuprates,4
Sm1.2Ba1.8Cu3O7.01,56.5,Sm1.2 Ba1.8 Cu3 O7.01,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.2, 'Ba': 1.8, 'Cu': 3.0, 'O': 7.01}",Cuprates,4
Sm1.28Ba1.72Cu3O7.03,43.6,Sm1.28 Ba1.72 Cu3 O7.03,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.28, 'Ba': 1.72, 'Cu': 3.0, 'O': 7.03}",Cuprates,4
Sm1.35Ba1.65Cu3O7.07,26.2,Sm1.35 Ba1.65 Cu3 O7.07,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.35, 'Ba': 1.65, 'Cu': 3.0, 'O': 7.07}",Cuprates,4
Bi2Ca1Sr2Cu2O8,88.5,Bi2 Ca1 Sr2 Cu2 O8,"[Element Bi, Element Ca, Element Sr, Element Cu, Element O]","{'Bi': 2.0, 'Ca': 1.0, 'Sr': 2.0, 'Cu': 2.0, 'O': 8.0}",Cuprates,5
Ba0.65K0.35Bi1O3,23.0,Ba0.65 K0.35 Bi1 O3,"[Element Ba, Element K, Element Bi, Element O]","{'Ba': 0.65, 'K': 0.35, 'Bi': 1.0, 'O': 3.0}",Other,4
La2Cu1O4.13,28.0,La2 Cu1 O4.13,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.13}",Cuprates,3
La1.9Sr0.1Cu1O4,26.0,La1.9 Sr0.1 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.9, 'Sr': 0.1, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.75Sr0.25Cu1O4,30.0,La1.75 Sr0.25 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.75, 'Sr': 0.25, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Bi2Sr1.3Ca0.7Cu1O6.15,84.0,Bi2 Sr1.3 Ca0.7 Cu1 O6.15,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 1.3, 'Ca': 0.7, 'Cu': 1.0, 'O': 6.15}",Cuprates,5
Ba0.6K0.4Bi1O3,31.5,Ba0.6 K0.4 Bi1 O3,"[Element Ba, Element K, Element Bi, Element O]","{'Ba': 0.6, 'K': 0.4, 'Bi': 1.0, 'O': 3.0}",Other,4
Tl1Sr2Ca0.5Sm0.5Cu2O6.75,37.6,Tl1 Sr2 Ca0.5 Sm0.5 Cu2 O6.75,"[Element Tl, Element Sr, Element Ca, Element Sm, Element Cu, Element O]","{'Tl': 1.0, 'Sr': 2.0, 'Ca': 0.5, 'Sm': 0.5, 'Cu': 2.0, 'O': 6.75}",Cuprates,6
Tl1Ba1.1La0.9Cu1O5,39.6,Tl1 Ba1.1 La0.9 Cu1 O5,"[Element Tl, Element Ba, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.1, 'La': 0.9, 'Cu': 1.0, 'O': 5.0}",Cuprates,5
Tl1Ba1.2La0.8Cu1O5,41.1,Tl1 Ba1.2 La0.8 Cu1 O5,"[Element Tl, Element Ba, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.2, 'La': 0.8, 'Cu': 1.0, 'O': 5.0}",Cuprates,5
La1Ba1Ca1Cu3O6.98,76.35,La1 Ba1 Ca1 Cu3 O6.98,"[Element La, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.0, 'Ba': 1.0, 'Ca': 1.0, 'Cu': 3.0, 'O': 6.98}",Cuprates,5
Er1Ba2Cu3O6.15,35.0,Er1 Ba2 Cu3 O6.15,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.15}",Cuprates,4
Er1Ba2Cu3O6.34,20.0,Er1 Ba2 Cu3 O6.34,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.34}",Cuprates,4
Er1Ba2Cu3O6.31,55.0,Er1 Ba2 Cu3 O6.31,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.31}",Cuprates,4
Er1Ba2Cu3O6.67,85.0,Er1 Ba2 Cu3 O6.67,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.67}",Cuprates,4
Er1Ba2Cu3O6.91,92.0,Er1 Ba2 Cu3 O6.91,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.91}",Cuprates,4
La1.7Sr0.3Cu1O4,15.2,La1.7 Sr0.3 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.7, 'Sr': 0.3, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.8Sr0.2Cu1O3.95,30.4,La1.8 Sr0.2 Cu1 O3.95,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.8, 'Sr': 0.2, 'Cu': 1.0, 'O': 3.95}",Cuprates,4
Bi0.7Pb0.3Sr1Ca1Cu1.8O6,73.0,Bi0.7 Pb0.3 Sr1 Ca1 Cu1.8 O6,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 0.7, 'Pb': 0.3, 'Sr': 1.0, 'Ca': 1.0, 'Cu': 1.8, 'O': 6.0}",Cuprates,6
Er1Ba2Cu3O6.53,54.3,Er1 Ba2 Cu3 O6.53,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.53}",Cuprates,4
Er1Ba2Cu3O6.64,61.3,Er1 Ba2 Cu3 O6.64,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.64}",Cuprates,4
Er1Ba2Cu3O6.78,78.2,Er1 Ba2 Cu3 O6.78,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.78}",Cuprates,4
Er1Ba2Cu3O6.87,94.5,Er1 Ba2 Cu3 O6.87,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.87}",Cuprates,4
Er1Ba2Cu3O7,92.5,Er1 Ba2 Cu3 O7,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,4
La1Ba2Cu2.9O6.82,45.0,La1 Ba2 Cu2.9 O6.82,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.0, 'Ba': 2.0, 'Cu': 2.9, 'O': 6.82}",Cuprates,4
La1Ba2Cu3O6.85,93.0,La1 Ba2 Cu3 O6.85,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.85}",Cuprates,4
La2Cu1O4,21.5,La2 Cu1 O4,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.0}",Cuprates,3
La1.88Ba0.12Cu1O4,35.0,La1.88 Ba0.12 Cu1 O4,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.88, 'Ba': 0.12, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.84Sr0.16Cu1O4,37.0,La1.84 Sr0.16 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.84, 'Sr': 0.16, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.84Sr0.16Cu0.987Ni0.013O4,25.0,La1.84 Sr0.16 Cu0.987 Ni0.013 O4,"[Element La, Element Sr, Element Cu, Element Ni, Element O]","{'La': 1.84, 'Sr': 0.16, 'Cu': 0.987, 'Ni': 0.013, 'O': 4.0}",Cuprates,5
La1.84Sr0.16Cu0.975Ni0.025O4,15.0,La1.84 Sr0.16 Cu0.975 Ni0.025 O4,"[Element La, Element Sr, Element Cu, Element Ni, Element O]","{'La': 1.84, 'Sr': 0.16, 'Cu': 0.975, 'Ni': 0.025, 'O': 4.0}",Cuprates,5
Bi4Ca3Sr3Cu4O16,84.5,Bi4 Ca3 Sr3 Cu4 O16,"[Element Bi, Element Ca, Element Sr, Element Cu, Element O]","{'Bi': 4.0, 'Ca': 3.0, 'Sr': 3.0, 'Cu': 4.0, 'O': 16.0}",Cuprates,5
Li0.9Mo6O17,1.7,Li0.9 Mo6 O17,"[Element Li, Element Mo, Element O]","{'Li': 0.9, 'Mo': 6.0, 'O': 17.0}",Other,3
Ba1Pb0.8Bi0.2O3,9.5,Ba1 Pb0.8 Bi0.2 O3,"[Element Ba, Element Pb, Element Bi, Element O]","{'Ba': 1.0, 'Pb': 0.8, 'Bi': 0.2, 'O': 3.0}",Other,4
Sm1Ba2Cu3O6.944,94.0,Sm1 Ba2 Cu3 O6.944,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.944}",Cuprates,4
Sm1.2Ba1.8Cu3O6.965,47.0,Sm1.2 Ba1.8 Cu3 O6.965,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.2, 'Ba': 1.8, 'Cu': 3.0, 'O': 6.965}",Cuprates,4
Sm1La0.75Sr0.25Cu1O3.95,20.0,Sm1 La0.75 Sr0.25 Cu1 O3.95,"[Element Sm, Element La, Element Sr, Element Cu, Element O]","{'Sm': 1.0, 'La': 0.75, 'Sr': 0.25, 'Cu': 1.0, 'O': 3.95}",Cuprates,5
La1.8Ba0.2Cu1O4,29.0,La1.8 Ba0.2 Cu1 O4,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.8, 'Ba': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.91Sr0.09Cu1O4,11.0,La1.91 Sr0.09 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.91, 'Sr': 0.09, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.925Sr0.075Cu1O4,21.2,La1.925 Sr0.075 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.925, 'Sr': 0.075, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.887Sr0.113Cu1O4,29.7,La1.887 Sr0.113 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.887, 'Sr': 0.113, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.812Sr0.188Cu1O4,34.4,La1.812 Sr0.188 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.812, 'Sr': 0.188, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.775Sr0.225Cu1O4,23.0,La1.775 Sr0.225 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.775, 'Sr': 0.225, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.737Sr0.263Cu1O4,8.0,La1.737 Sr0.263 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.737, 'Sr': 0.263, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Ba0.77K0.23Bi1O3,28.0,Ba0.77 K0.23 Bi1 O3,"[Element Ba, Element K, Element Bi, Element O]","{'Ba': 0.77, 'K': 0.23, 'Bi': 1.0, 'O': 3.0}",Other,4
Sm1Ba2Cu3O6.941,90.7,Sm1 Ba2 Cu3 O6.941,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.941}",Cuprates,4
Sm1Ba2Cu3O6.927,88.1,Sm1 Ba2 Cu3 O6.927,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.927}",Cuprates,4
Sm1Ba2Cu3O6.9,87.0,Sm1 Ba2 Cu3 O6.9,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.9}",Cuprates,4
Sm1Ba2Cu3O6.878,91.1,Sm1 Ba2 Cu3 O6.878,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.878}",Cuprates,4
Sm1Ba2Cu3O6.813,83.6,Sm1 Ba2 Cu3 O6.813,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.813}",Cuprates,4
Sm1Ba2Cu3O6.773,87.8,Sm1 Ba2 Cu3 O6.773,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.773}",Cuprates,4
Sm1Ba2Cu3O6.734,67.6,Sm1 Ba2 Cu3 O6.734,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.734}",Cuprates,4
Sm1Ba2Cu3O6.709,59.8,Sm1 Ba2 Cu3 O6.709,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.709}",Cuprates,4
Sm1Ba2Cu3O6.554,44.7,Sm1 Ba2 Cu3 O6.554,"[Element Sm, Element Ba, Element Cu, Element O]","{'Sm': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.554}",Cuprates,4
Bi2Sr2Ca6Cu8O19,80.0,Bi2 Sr2 Ca6 Cu8 O19,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 6.0, 'Cu': 8.0, 'O': 19.0}",Cuprates,5
Bi2Sr2Ca2Cu4O11,95.0,Bi2 Sr2 Ca2 Cu4 O11,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 4.0, 'O': 11.0}",Cuprates,5
Tl1Ba1Ca1Cu2O5.5,114.0,Tl1 Ba1 Ca1 Cu2 O5.5,"[Element Tl, Element Ba, Element Ca, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.0, 'Ca': 1.0, 'Cu': 2.0, 'O': 5.5}",Cuprates,5
