1	4	6	67	85	92	198
94		Yb1.6La0.2Ba0.2Cu1Oz		K	79.2	Jpn. J. Appl. Phys., 26(1987)L325
95	(La,Sr)2CuO4	Sr0.35La1.65Cu1O4-Y	T	K	26	Jpn.J.Appl.Phys., 26(1987)L223
97		Y0.4Ba0.6Cu1OX		K	92	JJAP.LETT.,26(1987)L624
98		Yb0.4Ba0.6Cu1O3-X		K	88	JJAP.LETT.,26(1987)L633
99		Lu1.8Ba0.2Cu1O4		K	71.9	Jpn. J. Appl. Phys., 26(1987)L325
100		Y0.9Ba0.1Cu1O4		K	81	Jpn. J. Appl. Phys., 26(1987)L325
105	(La,Ba)2CuO4	Ba0.15La1.85Cu1O4	T	K	28	Appl.Phys.Lett., 50(1987)543
106	(La,Sr)2CuO4	Sr0.15La1.85Cu1O4	T	K	34.7	Appl.Phys.Lett., 50(1987)543
108	(La,Sr)2(Cu,Ti)O4	Sr0.2La1.8Cu0.95Ti0.05O4	T	K	21	JJAP.LETT.,26(1987)L337
109	(La,Sr)2(Cu,V)O4	Sr0.2La1.8Cu0.99V0.01O4	T	K	12	JJAP.LETT.,26(1987)L337
110	(La,Sr)2(Cu,Cr)O4	Sr0.2La1.8Cu0.99Cr0.01O4	T	K	22	JJAP.LETT.,26(1987)L337
111	(La,Sr)2(Cu,Mn)O4	Sr0.2La1.8Cu0.98Mn0.02O4	T	K	32	JJAP.LETT.,26(1987)L337
112	(La,Sr)2(Cu,Fe)O4	Sr0.2La1.8Cu0.95Fe0.05O4	T	K	30	JJAP.LETT.,26(1987)L337
113	(La,Sr)2(Cu,Co)O4	Sr0.2La1.8Cu0.95Co0.05O4	T	K	16	JJAP.LETT.,26(1987)L337
114	(La,Sr)2(Cu,Ni)O4	Sr0.2La1.8Cu0.95Ni0.05O4	T	K	21	JJAP.LETT.,26(1987)L337
115	(La,Sr)2(Cu,Zn)O4	Sr0.2La1.8Cu0.99Zn0.01O4	T	K	29	JJAP.LETT.,26(1987)L337
116	(La,Pr,Sr)2CuO4	Pr0.1La1.7Sr0.2Cu1O4	T	K	36	JJAP.LETT.,26(1987)L337
117	(La,Nd,Sr)2CuO4	Nd0.1La1.7Sr0.2Cu1O4	T	K	35	JJAP.LETT.,26(1987)L337
118	(La,Sm,Sr)2CuO4	Sm0.1La1.7Sr0.2Cu1O4	T	K	32	JJAP.LETT.,26(1987)L337
119	(La,Gd,Sr)2CuO4	Gd0.1La1.7Sr0.2Cu1O4	T	K	30	JJAP.LETT.,26(1987)L337
120	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.85Fe0.15O7	Y123	K	51	PHYS.REV.B,36(1987)3923
121	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.7Fe0.3O7	Y123	K	33	PHYS.REV.B,36(1987)3923
122	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.97Fe0.03O7	Y123	K	82	PHYS.REV.B,36(1987)3923
123	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.94Fe0.06O7	Y123	K	60	PHYS.REV.B,36(1987)3923
124	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.88Fe0.12O7	Y123	K	54	PHYS.REV.B,36(1987)3923
125	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	90	PHYS.REV.B,36(1987)3923
126	YBa2Cu3(O,S)7	Y1Ba2Cu3S1O6	Y123	K	90	PHYS.REV.B,36(1987)3923
127	Yba2Cu3(O,Cl)7	Y1Ba2Cu3Cl1O6	Y123	K	72	PHYS.REV.B,36(1987)3923
128	YBa2Cu3O7	Y1Ba2Cu3O7+Y	Y123	K	92	Phys.Rev.B,36(1987)3920
129	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	93	PHYS.REV.B,36(1987)3917
130	YBa2Cu3O7	Y1Ba2Cu3O7-Y	Y123	K	92	PHYS.REV.B,36(1987)3913
131	GdBa2Cu3O7	Gd1Ba2Cu3O7-Y	Y123	K	94.5	PHYS.REV.B,36(1987)3913
133	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	36	Phys.Rev.B,36(1987)4003
134	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	91.85	Phys.Rev.B,36(1987)3990
135	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	91.95	Phys.Rev.B,36(1987)3990
136	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	89.7	Phys.Rev.B,36(1987)3990
137	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	89.9	Phys.Rev.B,36(1987)3990
138	HoBa2Cu3O7	Ho1Ba2Cu3O8-X	Y123	K	85	J.PHYS.C,20(1987)669
139	(Y,Gd)Ba2Cu3O7	Y0.1Gd0.9Ba2Cu3O8-X	Y123	K	90.5	J.PHYS.C,20(1987)669
140	ErBa2Cu3O7	Er1Ba2Cu3O7-X	Y123	K	275	J.PHYS.C,20(1987)673
141	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	130	PHYS.REV.LETT.,59(1987)1468
142	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	88.8	PHYS.REV.LETT.,59(1987)1160
144	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	90	J.PHYS.F,17(1987)261
145	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	85.5	J.Phys.F:Met.Phys.17(1987)L243-L248
146		Y3Ba5Cu4Nb1O18-X		K	77.3	J.Phys.F:Met.Phys.17(1987)L243-L248
147	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	90	PHYS.REV.LETT.,59(1987)1768
148		Sm0.45Ba0.55Cu1O3-Y		K	69	SOLID STATE COMMUN.,63(1987)1125
149		Sm0.4Ba0.6Cu1O3-Y		K	84.3	SOLID STATE COMMUN.,63(1987)1125
150		Sm0.33Ba0.67Cu1O7-X		K	86.4	SOLID STATE COMMUN.,63(1987)1125
151		Sm0.3Ba0.7Cu1O3-Y		K	88.8	SOLID STATE COMMUN.,63(1987)1125
152		Sm0.25Ba0.75Cu1O3-Y		K	73.6	SOLID STATE COMMUN.,63(1987)1125
153		Sm0.2Ba0.8Cu1O3-Y		K	62.5	SOLID STATE COMMUN.,63(1987)1125
154		Sm0.35Ba0.65Cu1O3-Y		K	93.1	SOLID STATE COMMUN.,63(1987)1125
155	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	90	SOLID STATE COMMUN.,63(1987)1149
156	YBa2Cu3O7	Y1Ba2Cu3O9-X		K	92	SOLID STATE COMMUN.,63(1987)1129
158		Bi2Sr2Cu2O7+Z		K	22	Z.PHYS.B:CONDENSED MATTER,68(1987)421
159		Bi1Sr1Cu1OY		K	6.5	JJAP.LETT.,26(1987)L2080
161	ErBa2Cu3O7	Er1Ba2Cu3OX	Y123	K	85.5	Jpn.J.Appl.Phys,26(1987)L1837-L1838
162	HoBa2Cu3O7	Ho1Ba2Cu3OX	Y123	K	91	Jpn.J.Appl.Phys.,26(1987)L1850-L1852
163	GdBa2Cu3O7	Gd1Ba2Cu3OX	Y123	K	93	Jpn.J.Appl.Phys.,26(1987)L1850-L1852
164	YBa2Cu3O7	Y1Ba2Cu3O6.9	Y123	K	95	Jpn.J.Appl.Phys.,26(1987)L1859-L1861
172	Eu(Ba,Eu)2Cu3O7	Eu1.5Ba1.5Cu3Oz	Y123	K	89.5	Jpn.J.Appl.Phys,26(1987)L1865-L1867
173	Gd(Ba,Gd)2Cu3O7	Gd1.5Ba1.5Cu3Oz	Y123	K	92.5	Jpn.J.Appl.Phys,26(1987)L1865-L1867
174	Y(Ba,Y)Cu3O7	Y1.5Ba1.5Cu3Oz	Y123	K	90	Jpn.J.Appl.Phys,26(1987)L1865-L1867
175	Tb(Ba,Yb)2Cu3O7	Yb1.5Ba1.5Cu3Oz	Y123	K	90	Jpn.J.Appl.Phys,26(1987)L1865-L1867
180	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	91.6	Phys.Rev.B,36(1987)8393
183	YBa2(Cu,Ni)3O7	Y1Ba2Cu2.75Ni0.25O7	Y123	K	63.9	Phys.Rev.B,36(1987)8393
184	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	92	Phys.Rev.B,36(1987)8365
185	YBa2(Cu,Al)3O7	Y1Ba2Cu2.95Al0.05O7	Y123	K	88	Phys.Rev.B,36(1987)8365
186	YBa2(Cu,Al)3O7	Y1Ba2Cu2.9Al0.1O7	Y123	K	75	Phys.Rev.B,36(1987)8365
187	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	39.3	Phys.Rev.B,36(1987)8393
188	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.975Ni0.025O4	T	K	22.6	Phys.Rev.B,36(1987)8393
189	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.95Ni0.05O4	T	K	4.2	Phys.Rev.B,36(1987)8393
193	YBa2(Cu,Al)3O7	Y1Ba2Cu2.89Al0.11O7	Y123	K	82	Phys.Rev.B,36(1987)8365
194	YBa2(Cu,Al)3O7	Y1Ba2Cu2.88Al0.12O7	Y123	K	51	Phys.Rev.B,36(1987)8365
195	YBa2(Cu,Al)3O7	Y1Ba2Cu2.87Al0.13O7	Y123	K	45	Phys.Rev.B,36(1987)8365
196	YBa2(Cu,Al)3O7	Y1Ba2Cu2.865Al0.135O7	Y123	K	45	Phys.Rev.B,36(1987)8365
197	YBa2(Cu,Al)3O7	Y1Ba2Cu2.82Al0.18O7	Y123	K	20	Phys.Rev.B,36(1987)8365
199	YBa2Cu3O7	Y1Ba2Cu3O7-Z	Y123	K	92.4	Phys.Rev.B,36(1987)8329
200	YBa2Cu3O7	Y1Ba2Cu3O6.8	Y123	K	91.6	PHYS.REV.B,36(1987)8786
201	ErBa2Cu3O7	Er1Ba2Cu3O7-Z	Y123	K	86	Phys.Rev.B,36(1987)8791
202	YBa2Cu3HxO7	Y1Ba2Cu3H0.14O7	Y123	K	92.5	PHYS.REV.B,36(1987)8798
203	Yba2Cu3HxO7	Y1Ba2Cu3H0.48O7	Y123	K	93.6	PHYS.REV.B,36(1987)8798
204	YBa2Cu3HxO7	Y1Ba2Cu3H1O7	Y123	K	93.2	PHYS.REV.B,36(1987)8798
207	YBa2Cu3O7	Y1Ba2Cu3O9-Z	Y123	K	90	PHYS.REV.B,36(1987)8802
208	EuBa2Cu3O7	Eu1Ba2Cu3O7.1	Y123	K	94.9	Phys.Rev.B,36(1987)226
209	GdBa2Cu3O7	Gd1Ba2Cu3O7.08	Y123	K	93.8	Phys.Rev.B,36(1987)226
210	DyBa2Cu3O7	Dy1Ba2Cu3O6.82	Y123	K	92.7	Phys.Rev.B,36(1987)226
211	HoBa2Cu3O7	Ho1Ba2Cu3O6.71	Y123	K	92.9	Phys.Rev.B,36(1987)226
222	ErBa2Cu3O7	Er1Ba2Cu3O6.82	Y123	K	92.4	Phys.Rev.B,36(1987)226
223	TmBa2Cu3O7	Tm1Ba2Cu3O6.65	Y123	K	92.5	Phys.Rev.B,36(1987)226
224	YbBa2Cu3O7	Yb1Ba2Cu3O6.71	Y123	K	87	Phys.Rev.B,36(1987)226
225	LuBa2Cu3O7	Lu1Ba2Cu3O7-X	Y123	K	89.5	Phys.Rev.B,36(1987)226
226	YBa2Cu3O7	Y1Ba2Cu3O6.72	Y123	K	93.4	Phys.Rev.B,36(1987)226
228	NdBa2Cu3O7	Nd1Ba2Cu3O7.16	Y123	K	95.3	Phys.Rev.B,36(1987)226
229	SmBa2Cu3O7	Sm1Ba2Cu3O7.11	Y123	K	93.5	Phys.Rev.B,36(1987)226
230	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	37.1	Solid State Commun.,65(1988)849-853
231	YBa2Cu3O7	Y1Ba2Cu3O7-X	Y123	K	88.8	PHYS.REV.LETT.,59(1987)1160
232	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4-Z	T	K	33	PHYS.REV.B,36(1987)5279
233	YBa2(Cu,Ni)3O7	Y1Ba2.01Cu2.81Ni0.19O6.7	Y123	K	65	SOLID STATE COMMUN.,65(1988)585
234	YBa2(Cu,Zn)3O7	Y1Ba2.02Cu2.18Zn0.82O7	Y123	K	30	SOLID STATE COMMUN.,65(1988)585
235	YBa2(Cu,Ag)3O7	Y1Ba1.99Cu2.847Ag0.153O6.7	Y123	K	86	SOLID STATE COMMUN.,65(1988)585
236	YBa2(Cu,Pt)3O7	Y1Ba2Cu2.902Pt0.098O6.4	Y123	K	81	SOLID STATE COMMUN.,65(1988)585
237	Yba2(Cu,Co)3O7	Y1Ba2.01Cu2.7Co0.3O6.8	Y123	K	36	SOLID STATE COMMUN.,65(1988)585
239	YBa2(Cu,Ni)3O7	Y1.01Ba2.01Cu2.906Ni0.094O6.7	Y123	K	71	SOLID STATE COMMUN.,65(1988)585
240	YBa2(Cu,Mn)3O7	Y1Ba2Cu2.697Mn0.303O6.9	Y123	K	63	SOLID STATE COMMUN.,65(1988)585
241	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.844Fe0.156O7	Y123	K	57	SOLID STATE COMMUN.,65(1988)585
242	YBa2(Cu,Fe)3O7	Y1.01Ba2.01Cu2.697Fe0.303O	Y123	K	36	SOLID STATE COMMUN.,65(1988)585
243	YBa2Cu3O7	Y1Ba2Cu3O6.9	Y123	K	88	SOLID STATE COMMUN.,65(1988)585
245	YBa2(Cu,Li)3O7	Y0.99Ba1.99Cu2.847Li0.153O6.4	Y123	K	62	SOLID STATE COMMUN.,65(1988)585
246	YBa2(Cu,Li)3O7	Y1.01Ba2.03Cu2.808Li0.192O6.6	Y123	K	33	SOLID STATE COMMUN.,65(1988)585
247	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.85Fe0.15O7-Z	Y123	K	50	Phys.Lett.A,127(1988)231
248	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.85Fe0.15O7-Z	Y123	K	57	Phys.Lett.A,127(1988)231
249	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.7Fe0.3O7-Z	Y123	K	4	Phys.Lett.A,127(1988)231
250	YBa2Cu3O7	Y1Ba2Cu3O7-Z	Y123	K	91	Phys.Lett.A,127(1988)231
251	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.955Fe0.045O7-Z	Y123	K	74	Phys.Lett.A,127(1988)231
252	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.955Fe0.045O7-Z	Y123	K	59	Phys.Lett.A,127(1988)231
253	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.895Fe0.105O7-Z	Y123	K	61	Phys.Lett.A,127(1988)231
254	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.825O	Y123	K	90.5	APPL.PHYS.LETT.,52(1988)838
255	YBa2Cu3(O,F)7	Y1Ba2Cu3F1.65O5.675	Y123	K	90.3	APPL.PHYS.LETT.,52(1988)838
256	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.066Oz	Y123	K	93.4	APPL.PHYS.LETT.,52(1988)838
257	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.066Oz	Y123	K	92.2	APPL.PHYS.LETT.,52(1988)838
258	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.165Oz	Y123	K	91.6	APPL.PHYS.LETT.,52(1988)838
259	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.016Oz	Y123	K	90.8	APPL.PHYS.LETT.,52(1988)838
260	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.033Oz	Y123	K	92.1	APPL.PHYS.LETT.,52(1988)838
261	YBa2Cu3(O,F)7	Y1Ba2Cu3F0.05Oz	Y123	K	92.5	APPL.PHYS.LETT.,52(1988)838
262	YBa2Cu3O7	Y1Ba2Cu3Oz	Y123	K	90	PHYS.REV.B,36(1987)8816
265	YBa2Cu3O7	Y1Ba2Cu3Oz	Y123	K	86	J.Appl.Phys.62(1987)4821
266	GdBa2Cu3O7	Gd1Ba2Cu3Oz	Y123	K	87	J.PHYS.SOC.JAPAN,56(1987)3805
267	ErBa2Cu3O7	Er1Ba2Cu3OX	Y123	K	90	J.PHYS.SOC.JAPAN,56(1987)3805
268	DyBa2Cu3O7	Dy1Ba2Cu3OX	Y123	K	92	J.PHYS.SOC.JAPAN,56(1987)3805
269	HoBa2Cu3O7	Ho1Ba2Cu3OX	Y123	K	90	J.PHYS.SOC.JAPAN,56(1987)3805
270	YBa2Cu3O7	Y1Ba2Cu3O7	Y123	K	93	Phys.Rev.B,36(1987)4014
271	YBa2Cu3O7	Y1Ba2Cu3OX	Y123	K	92	SOLID STATE COMMUN.,65(1988)59
272	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4-X	T	K	34	PHYS.REV.B,37(1988)5132
273	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.995Ni0.005O4-X	T	K	30.5	PHYS.REV.B,37(1988)5132
274	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.99Ni0.01O4-X	T	K	30.5	PHYS.REV.B,37(1988)5132
275	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.98Ni0.02O4-X	T	K	23	PHYS.REV.B,37(1988)5132
276	(La,Sr)2(Cu,Ni)O4	La1.85Sr0.15Cu0.97Ni0.03OX	T	K	24	PHYS.REV.B,37(1988)5132
278		Tl2Ca2Ba1Cu3OX		K	110	PHYS.REV.LETT.,60(1988)1657
279		Tl2Ca2Ba2Cu3OX		K	110	PHYS.REV.LETT.,60(1988)1657
282	YBa2Cu3O7	Y1Ba2Cu3Oz	Y123	K	93.5	JJAP.LETT.,27(1988)L655
283	YBa(Cu,Ti)3O7	Y1Ba2Cu2.85Ti0.15Oz	Y123	K	94	JJAP.LETT.,27(1988)L655
284	YBa2(Cu,Ti)3O7	Y1Ba2Cu2.7Ti0.3Oz	Y123	K	92.5	JJAP.LETT.,27(1988)L655
285	YBa2(Cu,Ti)3O7	Y1Ba2Cu2.55Ti0.45Oz	Y123	K	92.5	JJAP.LETT.,27(1988)L655
286	YBa2(Cu,Ti)3O7	Y1Ba2Cu2.4Ti0.6Oz	Y123	K	93.5	JJAP.LETT.,27(1988)L655
287	YBa2(Cu,Ti)3O7	Y1Ba2Cu2.25Ti0.75Oz	Y123	K	88	JJAP.LETT.,27(1988)L655
288	YBa2(Cu,Ti)3O7	Y1Ba2Cu2.1Ti0.9Oz	Y123	K	83.5	JJAP.LETT.,27(1988)L655
289		Bi1Sr1Ca1Cu2Oz		K	110	JJAP.LETT.,27(1988)L661
290	Bi2(Sr,Ca)2CaCu2O8	Bi2Sr1.8Ca1.2Cu2Oz	Bi2212	K	75	JJAP.LETT.,27(1988)L661
291		Bi2Sr3Ca4Cu8Oz		K	104	JJAP.LETT.,27(1988)L674
292		Bi1Sr1Ca1Cu2Oz		K	106	JJAP.LETT.,27(1988)L668
293	(La,Sr)2(Cu,Zn)O4	La1.85Sr0.15Cu0.925Zn0.025O4	T	K	15	Phys.Rev.B,36(1987)8393
295	YBa2Cu3O7	Y1Ba2Cu3O7-Z	Y123	K	91.5	PHYS.REV.B,36(1987)5279
296	YBa2(Cu,Co)3O7	Y1Ba2Cu2.841Co0.159O6.8	Y123	K	54	SOLID STATE COMMUN.,65(1988)585
297	YBa2(Cu,Cr)3O7	Y1Ba2.01Cu2.806Cr0.194O7.3	Y123	K	62	SOLID STATE COMMUN.,65(1988)585
298	YBa2Cu3O7	Y1Ba2Cu3O6.74	Y123	K	91	J.PHYS.SOC.JAPAN,56(1987)3797
299	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.98Fe0.02O6.93	Y123	K	91.8	PHYS.REV.B,37(1988)7458
300	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.95Fe0.05O6.92	Y123	K	91.8	PHYS.REV.B,37(1988)7458
301	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.9Fe0.1O6.92	Y123	K	76	PHYS.REV.B,37(1988)7458
302	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.8Fe0.2O6.93	Y123	K	49	PHYS.REV.B,37(1988)7458
304	YBa2(Cu,Fe)3O7	Y1Ba2Cu2.6Fe0.4O7	Y123	K	31	PHYS.REV.B,37(1988)7458
307	YBa2(Cu,Al)3O7	Y1Ba2Cu2.95Al0.05O6.93	Y123	K	91	PHYS.REV.B,37(1988)7458
308	YBa2(Cu,Al)3O7	Y1Ba2Cu2.9Al0.1O6.93	Y123	K	92	PHYS.REV.B,37(1988)7458
